Pillar/Bucket,NodeType,SubtypeOrTag,ExampleSeriesOrEntity,Description,KeyAttributes,TypicalSources,Price,Comments,Priority
Instruments and structures,Security,type=MBS; subtype=agency/non_agency,FNMA 3.0 2043 CUSIP; Freddie Gold; Ginnie II; non agency RMBS bond,"Tradeable fixed income instruments backed by mortgage collateral, including agency pass throughs and non agency RMBS bonds.",cusip; isin; ticker; security_type; agency_flag; coupon; issue_date; maturity_date; day_count; payment_frequency,Fannie Mae; Freddie Mac; Ginnie Mae disclosure; TRACE; Bloomberg; Refinitiv,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Instruments and structures,Security,type=Index,Bloomberg US MBS index; Bloomberg Agg; custom cohort index,Benchmark indices that group MBS or broader fixed income securities into a defined basket used for performance comparison and risk management.,index_id; name; family; methodology; rebal_frequency,Bloomberg indices; other index vendors,"$24,000","Requires Bloomberg Terminal + Desktop API for early-stage internal use
Will need a Bloomberg data license (likely per security for commercial use)
",P2
Instruments and structures,Deal,type=RMBS_deal/CMO,Private label RMBS 2024-1; Fannie REMIC trust,Legal securitization deals or trusts that issue one or more tranches backed by a pool of mortgage loans.,deal_id; name; closing_date; issuing_entity; deal_type; collateral_type,Trustee reports; offering circulars; Intex; Andrew Davidson; Yield Book,,non-agency focus,P2
Instruments and structures,Tranche,class_type=senior/mezz/sub/IO/PO,Class A1; M2; B1; IO strip; PO strip,"Individual bond classes within a securitization that have distinct cashflow priorities and risk profiles (principal, interest only, etc).",tranche_id; class_name; coupon; notional; WAL; credit_support; payment_rules,Deal docs; trustee reports; Intex; Andrew Davidson; Yield Book,,non-agency focus,P2
Instruments and structures,CollateralPool,pool backing a security,Fannie pool 123456; Ginnie pool MA1234,A pool of mortgage loans whose cashflows are aggregated to back one or more MBS securities.,pool_id; pool_type (single_family/multi); orig_balance; current_balance; WAC; WAM; WALA; loan_count; agency,GSE and Ginnie pool disclosure and factor files,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Instruments and structures,TBAContract,generic_forward_contract,FNCL 6.0 Jan 2025; FGLMC 4.5 Feb 2025,"Standardized forward contracts for delivery of eligible MBS pools at a future settlement date, used to hedge and trade generic mortgage exposure.",product (FNCL/FGLMC/GNMA2); coupon; settlement_month; settlement_date; contract_standard,Dealer feeds; Bloomberg; Tradeweb,,,P1
Instruments and structures,IndexMembership,membership_edge,Security included in index at a date,"Relationship node or edge capturing that a given security is part of a specific index on a given date, with an associated weight.",index_id; security_id; weight; inclusion_date; exclusion_date,Index provider data,,,
Collateral and borrowers,Loan,type=mortgage_loan,Individual residential mortgage backing a pool,"Underlying mortgage obligation of a borrower, with detailed underwriting terms and borrower attributes that drive credit and prepayment risk.",loan_id; orig_balance; current_balance; note_rate; orig_date; maturity_date; amort_type; product_type; purpose; channel; documentation; FICO; LTV; DTI; occupancy; state,Fannie loan level disclosure; Freddie loan level; non agency loan tapes; Ginnie enhanced files,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Collateral and borrowers,Property,residential_property,House or condo securing loan,"Physical real estate asset that serves as collateral for a mortgage loan, with location and property type that tie into housing fundamentals and HPI.",property_id; property_type; unit_count; occupancy_status; initial_appraisal_value; orig_CLTV; geo_id (zip/county/MSA),GSE disclosures; public records; AVM providers; FHFA geo mapping,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Collateral and borrowers,BorrowerCohort,aggregated_borrower_profile,FICO 720-740; LTV 70-80; owner occupied; CA,Aggregated borrower bucket representing a group of loans with similar risk attributes used for cohort based analytics rather than individual borrowers.,cohort_id; FICO_bucket; LTV_bucket; DTI_bucket; occupancy; purpose; region,Constructed from loan data using internal rules,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Performance and cashflows,Cashflow,cash_payment,Scheduled and actual payments at pool or tranche level,"Individual cashflow events, including scheduled and realized principal, interest, fees, losses and recoveries associated with a pool or tranche.",cf_id; source_node_id (pool/tranche); cashflow_type (sch_prin; act_prin; interest; fee; loss; recovery); amount; currency; payment_date,Pool factor files; remittance reports; trustee reports; vendor cashflow engines,,"Calculate it based on loan details, create an internal model of cash flows",P1
Performance and cashflows,PerformanceState,loan_status,Loan status at a date - current; 30dpd; 60dpd; 90dpd; FC; REO; paid_off; modified,"Categorical state of a loan at a point in time describing delinquency, default, foreclosure, REO or payoff status.",loan_id; status_code; status_date; loss_status_flag,GSE loan level disclosures; servicer performance data; non agency remittance reports,"$30,000","Free for internal use, need a commercial license for external distribution (starts at 10k each)",P0
Performance and cashflows,PrepaymentMetric,prepay_series,CPR; SMM; CDR; CRR at pool or cohort level by month; refi vs turnover split where available,"Aggregated measures of prepayment and default activity that summarize how quickly principal is returning, and distinguish refinance driven vs turnover driven prepayments where possible.",metric_type (CPR/SMM/CDR/CRR); value; period; scope_id (pool_id or cohort_id); refi_share; turnover_share,"ICE/eMBS

Derived from factors; Ginnie Global Markets Analysis; FHFA prepayment monitoring; vendor prepayment analytics",,,
Performance and cashflows,CreditMetric,credit_series,Delinquency rate; serious delinquency; foreclosure rate; loss rate; loss severity,"Aggregated measures of credit performance and loss for a pool or cohort, tracking the build up and resolution of credit stress.",metric_type (delinquency_rate/serious_dq/foreclosure_rate/loss_rate/severity); value; period; scope_id (pool_id or cohort_id),Loan level disclosures; remittance reports; credit analytics vendors,,,
Market pricing and liquidity,Trade,executed_trade,TRACE trade in a specific MBS CUSIP,"Individual secondary market transaction with price, size, time, and counterparty type information used to infer liquidity and market levels.",trade_id; cusip; price; size; trade_datetime; side (dealer_customer/interdealer); counterparty_type; venue,FINRA TRACE MBS data products,,,
Market pricing and liquidity,Quote,bid_or_offer,Dealer quote on TBA or specified pool,"Indicative or firm bid or ask from a dealer or platform for a given TBA contract or specified pool, used to measure market levels and payups.",quote_id; symbol (cusip/TBA); bid; ask; size; quote_time; source,Bloomberg; Tradeweb; dealer runs,,,
Market pricing and liquidity,PriceMetric,pricing_time_series,Daily close price; yield; Z spread; OAS; duration; convexity for each security or TBA coupon stack,"Time series of derived pricing and risk measures for a security or TBA, used in valuation, risk and relative value analysis.",security_id; metric_type (price/yield/OAS/Z/duration/dv01/convexity); value; date,Bloomberg; Refinitiv; Yield Book; Intex; internal curve engine,,,
